"";"Data";"Hora";"Nome";"Idade";"Sexo";"Crime";"Tipo";"Cidade";"Bairro"
"167";"14/02/2021 ";"17";"Branca";"41";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Maragogi"
"168";"14/02/2021 ";"21";"Parda";"19";"Masculino";"Homicídio";"PAF";"Maceió";"Clima Bom"
"169";"14/02/2021 ";"22";"Parda";"18";"Masculino";"Homicídio";"PAF";"Pilar";"Chã do Pilar"
"170";"15/02/2021 ";"18";"Preta";"19";"Masculino";"Homicídio";"BRANCA";"Maceió";"Cidade Universitária"
"171";"16/02/2021 ";"00";"Parda";"21";"Masculino";"Homicídio";"PAF";"Zona Rural";"Batalha"
"172";"16/02/2021 ";"03";"Preta";"24";"Masculino";"Homicídio";"PAF";"Palmeira dos Índios";"Zona Rural"
"173";"16/02/2021 ";"10";"Parda";"27";"Masculino";"Homicídio";"PAF";"Olho d Água das Flores";"Centro"
"174";"16/02/2021 ";"18";"Parda";"29";"Masculino";"Homicídio";"PAF";"Igreja Nova";"Centro"
"175";"16/02/2021 ";"20";"Parda";"36";"Masculino";"Homicídio";"PAF";"Arapiraca";"Manoel Teles"
"176";"16/02/2021 ";"22";"Branca";"22";"Masculino";"Resistência com Resultado Morte";"PAF";"São Miguel dos Campos";"Centro"
"177";"17/02/2021 ";"14";"Parda";"19";"Masculino";"Homicídio";"PAF";"Maceió";"Cidade Universitária"
"178";"17/02/2021 ";"21";"Parda";"33";"Masculino";"Homicídio";"PAF";"Zona Rural";"Viçosa"
"179";"18/02/2021 ";"07";"NI";"32";"Masculino";"Homicídio";"PAF";"Barra de São Miguel";"Zona Rural"
"180";"18/02/2021 ";"18";"Branca";"71";"Masculino";"Homicídio";"ESPANCAMEN";"São Luís do Quitunde";"Centro"
"181";"19/02/2021 ";"00";"Parda";"17";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Piaçabuçu"
"182";"19/02/2021 ";"06";"Parda";"44";"Masculino";"Homicídio";"ESPANCAMEN";"Limoeiro de Anadia";"Zona Rural"
"183";"19/02/2021 ";"11";"Parda";"26";"Masculino";"Homicídio";"PAF";"Rio Largo";"Tabuleiro do Pinto"
"184";"19/02/2021 ";"18";"Parda";"19";"Masculino";"Homicídio";"NI";"Maceió";"Cruz das Almas"
"185";"20/02/2021 ";"01";"Parda";"18";"Masculino";"Homicídio";"PAF";"Barra de São Miguel";"Centro"
"186";"20/02/2021 ";"07";"Parda";"29";"Masculino";"Homicídio";"PAF";"Penedo";"Dom Constantino"
"187";"20/02/2021 ";"11";"Parda";"22";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Nova Esperança"
